method,query,polarity,run,wall_ms,exit_code,hit_count,raw_matches,has_sheet_cell,agent_json,noise_lines,status
rg_raw,勇士匕首,pos,1,4,1,0,0,0,0,0,rg_no_match
rg_raw,勇士匕首,pos,2,2,1,0,0,0,0,0,rg_no_match
rg_raw,勇士匕首,pos,3,2,1,0,0,0,0,0,rg_no_match
rg_unzip,勇士匕首,pos,1,5,0,17,17,0,0,17,rg_match
rg_unzip,勇士匕首,pos,2,5,0,17,17,0,0,17,rg_match
rg_unzip,勇士匕首,pos,3,5,0,17,17,0,0,17,rg_match
codefind_xlsx,勇士匕首,pos,1,35,0,17,17,1,1,0,candidates_found
codefind_xlsx,勇士匕首,pos,2,36,0,17,17,1,1,0,candidates_found
codefind_xlsx,勇士匕首,pos,3,33,0,17,17,1,1,0,candidates_found
rg_raw,如来神掌,pos,1,2,1,0,0,0,0,0,rg_no_match
rg_raw,如来神掌,pos,2,2,1,0,0,0,0,0,rg_no_match
rg_raw,如来神掌,pos,3,2,1,0,0,0,0,0,rg_no_match
rg_unzip,如来神掌,pos,1,5,0,12,12,0,0,12,rg_match
rg_unzip,如来神掌,pos,2,4,0,12,12,0,0,12,rg_match
rg_unzip,如来神掌,pos,3,4,0,12,12,0,0,12,rg_match
codefind_xlsx,如来神掌,pos,1,38,0,12,12,1,1,0,candidates_found
codefind_xlsx,如来神掌,pos,2,40,0,12,12,1,1,0,candidates_found
codefind_xlsx,如来神掌,pos,3,38,0,12,12,1,1,0,candidates_found
rg_raw,电锯人,pos,1,2,1,0,0,0,0,0,rg_no_match
rg_raw,电锯人,pos,2,2,1,0,0,0,0,0,rg_no_match
rg_raw,电锯人,pos,3,2,1,0,0,0,0,0,rg_no_match
rg_unzip,电锯人,pos,1,5,0,2,2,0,0,2,rg_match
rg_unzip,电锯人,pos,2,4,0,2,2,0,0,2,rg_match
rg_unzip,电锯人,pos,3,3,0,2,2,0,0,2,rg_match
codefind_xlsx,电锯人,pos,1,41,0,2,2,1,1,0,candidates_found
codefind_xlsx,电锯人,pos,2,36,0,2,2,1,1,0,candidates_found
codefind_xlsx,电锯人,pos,3,34,0,2,2,1,1,0,candidates_found
rg_raw,甲贺忍法帖,pos,1,2,1,0,0,0,0,0,rg_no_match
rg_raw,甲贺忍法帖,pos,2,2,1,0,0,0,0,0,rg_no_match
rg_raw,甲贺忍法帖,pos,3,1,1,0,0,0,0,0,rg_no_match
